,단어,품사,점수
10321,계좌,N,0
10322,맞은편,N,0
10323,예약,N,0
10324,불가,N,-2
10325,올리브,N,0
10326,지다,V,0
10327,쇼시,N,0
10328,아트,N,0
10329,시술,N,0
10330,연락처,N,0
10331,본죽,N,0
10332,주다,V,0
10333,성함,N,0
10334,카톡,N,0
10335,국민,N,0
10336,연장,N,0
10337,친구,N,0
10338,받다,V,0
10339,오후,N,0
10340,아이디,N,0
10341,디자인,N,0
10342,양식,N,0
10343,예약금,N,0
10344,손톱,N,0
10345,사진,N,0
10346,당일,N,0
10347,노형동,N,0
10348,가능,N,1
10349,많다,V,2
10350,네일,N,0
10351,플러스,N,0
10352,시간,N,0
10353,취소,N,0
10354,정지연,N,0
10355,시럽,N,0
10356,사거리,N,0
10357,카카오톡,N,0
10358,제주시,N,0
10359,그램,N,0
10360,하다,V,0
10361,여부,N,0
10362,변동,N,0
10363,아라동,N,0
10364,스타,N,0
10365,시간대,N,0
10366,강추,N,2
10367,빠르다,V,1
10368,검색,N,0
10369,시청,N,0
10370,제거,N,0
10371,제주,N,0
10372,월랑,N,0
10373,웨딩,N,0
10374,동시,N,0
10375,환불,N,-1
10376,이달,N,0
10377,날짜,N,0
10378,보내다,V,0
10379,계좌,N,0
10380,맞은편,N,0
10381,예약,N,0
10382,불가,N,-2
10383,베리,N,0
10384,올리브,N,0
10385,지다,V,0
10386,쇼시,N,0
10387,아트,N,0
10388,시술,N,0
10389,연락처,N,0
10390,본죽,N,0
10391,주다,V,0
10392,성함,N,0
10393,카톡,N,0
10394,국민,N,0
10395,친구,N,0
10396,받다,V,0
10397,오후,N,0
10398,아이디,N,0
10399,겨울,N,0
10400,디자인,N,0
10401,양식,N,0
10402,예약금,N,0
10403,사진,N,0
10404,당일,N,0
10405,노형동,N,0
10406,가능,N,1
10407,많다,V,2
10408,네일,N,0
10409,플러스,N,0
10410,시간,N,0
10411,취소,N,0
10412,정지연,N,0
10413,사거리,N,0
10414,카카오톡,N,0
10415,제주시,N,0
10416,그램,N,0
10417,여부,N,0
10418,하다,V,0
10419,변동,N,0
10420,아라동,N,0
10421,스타,N,0
10422,시간대,N,0
10423,빠르다,V,1
10424,검색,N,0
10425,시청,N,0
10426,제거,N,0
10427,제주,N,0
10428,월랑,N,0
10429,동시,N,0
10430,환불,N,-1
10431,이달,N,0
10432,날짜,N,0
10433,보내다,V,0
10434,계좌,N,0
10435,맞은편,N,0
10436,예약,N,0
10437,불가,N,-2
10438,올리브,N,0
10439,지다,V,0
10440,쇼시,N,0
10441,아트,N,0
10442,시술,N,0
10443,연락처,N,0
10444,본죽,N,0
10445,주다,V,0
10446,성함,N,0
10447,카톡,N,0
10448,국민,N,0
10449,친구,N,0
10450,받다,V,0
10451,오후,N,0
10452,체크,N,0
10453,아이디,N,0
10454,겨울,N,0
10455,디자인,N,0
10456,양식,N,0
10457,예약금,N,0
10458,사진,N,0
10459,당일,N,0
10460,노형동,N,0
10461,가능,N,1
10462,많다,V,2
10463,네일,N,0
10464,플러스,N,0
10465,시간,N,0
10466,취소,N,0
10467,정지연,N,0
10468,사거리,N,0
10469,카카오톡,N,0
10470,제주시,N,0
10471,그램,N,0
10472,여부,N,0
10473,하다,V,0
10474,변동,N,0
10475,아라동,N,0
10476,스타,N,0
10477,시간대,N,0
10478,빠르다,V,1
10479,검색,N,0
10480,시청,N,0
10481,제거,N,0
10482,제주,N,0
10483,월랑,N,0
10484,동시,N,0
10485,환불,N,-1
10486,이달,N,0
10487,날짜,N,0
10488,보내다,V,0
10489,계좌,N,0
10490,맞은편,N,0
10491,예약,N,0
10492,불가,N,-2
10493,올리브,N,0
10494,지다,V,0
10495,쇼시,N,0
10496,아트,N,0
10497,시술,N,0
10498,연락처,N,0
10499,본죽,N,0
10500,주다,V,0
10501,성함,N,0
10502,카톡,N,0
10503,국민,N,0
10504,친구,N,0
10505,받다,V,0
10506,오후,N,0
10507,아이디,N,0
10508,겨울,N,0
10509,디자인,N,0
10510,양식,N,0
10511,크리스마스,N,0
10512,예약금,N,0
10513,사진,N,0
10514,당일,N,0
10515,노형동,N,0
10516,가능,N,1
10517,많다,V,2
10518,네일,N,0
10519,플러스,N,0
10520,시간,N,0
10521,취소,N,0
10522,정지연,N,0
10523,사거리,N,0
10524,카카오톡,N,0
10525,제주시,N,0
10526,그램,N,0
10527,여부,N,0
10528,하다,V,0
10529,변동,N,0
10530,아라동,N,0
10531,스타,N,0
10532,유지,N,0
10533,시간대,N,0
10534,빠르다,V,1
10535,검색,N,0
10536,시청,N,0
10537,제거,N,0
10538,제주,N,0
10539,월랑,N,0
10540,동시,N,0
10541,환불,N,-1
10542,이달,N,0
10543,날짜,N,0
10544,보내다,V,0
10545,계좌,N,0
10546,맞은편,N,0
10547,후기,N,0
10548,예약,N,0
10549,불가,N,-2
10550,올리브,N,0
10551,지다,V,0
10552,쇼시,N,0
10553,아트,N,0
10554,시술,N,0
10555,연락처,N,0
10556,본죽,N,0
10557,주다,V,0
10558,성함,N,0
10559,카톡,N,0
10560,국민,N,0
10561,친구,N,0
10562,받다,V,0
10563,오후,N,0
10564,아이디,N,0
10565,디자인,N,0
10566,양식,N,0
10567,예약금,N,0
10568,사진,N,0
10569,당일,N,0
