,단어,품사,점수
1273,추석날,N,0
1274,스킨,N,0
1275,순조,N,2
1276,공개,N,0
1277,잘다,V,0
1278,주일,N,0
1279,애견,N,0
1280,연고,N,0
1281,새별,N,0
1282,이추,N,0
1283,차안,N,0
1284,단풍,N,0
1285,방치,N,0
1286,유명세,N,1
1287,수도,N,0
1288,발달,N,0
1289,공원묘지,N,0
1290,고속도,N,0
1291,제습,N,0
1292,누르다,V,0
1293,맑다,V,2
1294,스쿠버,N,0
1295,스트레스,N,-2
1296,스포츠,N,0
1297,외로움,N,-2
1298,뽑다,V,0
1299,초심,N,0
1300,바베큐,N,0
1301,어쩌다,V,0
1302,부여,N,0
1303,인연,N,2
1304,과부하,N,-2
1305,모셔야다,V,0
1306,타지,N,0
1307,반면,N,0
1308,시비,N,-2
1309,해야다,V,0
1310,걸때,N,0
1311,캠핑,N,0
1312,합하다,V,0
1313,잡아가다,V,0
1314,섶섬,N,0
1315,기스,N,0
1316,애완,N,0
1317,누비다,V,0
1318,일도동,N,0
1319,엄마,N,2
1320,안티,N,-2
1321,다래끼,N,0
1322,묵히다,V,0
1323,강습,N,0
1324,이호,N,0
1325,열정,N,2
1326,밝히다,V,0
1327,손가락,N,0
1328,오로라,N,0
1329,라젤,N,0
1330,영양제,N,0
1331,선팔,N,0
1332,풀칼,N,0
1333,부탁,N,0
1334,패디,N,0
1335,데일리,N,0
1336,약변,N,0
1337,부탁드리다,V,0
1338,칼라,N,0
1339,답장,N,0
1340,양해,N,1
1341,오버레이,N,0
1342,신데렐라,N,0
1343,파우더,N,0
1344,바르다,V,0
1345,니트,N,0
1346,유광,N,0
1347,예뿌다,V,2
1348,현아,N,0
1349,무진장,N,0
1350,투척,N,0
1351,폭포,N,0
1352,디저트,N,0
1353,허브,N,0
1354,호수,N,0
1355,장관,N,0
1356,시즌,N,0
1357,다가오다,V,0
1358,찹다,V,0
1359,인공미,N,0
1360,가운데,N,0
1361,도장,N,0
1362,하귀,N,0
1363,현금,N,0
1364,노리,N,0
